x_value,total_1,total_2
0,1000,1000
1,1003,1001
2,1004,997
3,1012,997
4,1014,1002
5,1009,998
6,1012,995
7,1018,1000
8,1015,1006
9,1012,1002
10,1019,1006
11,1019,1011
12,1018,1009
13,1023,1015
14,1025,1010
15,1031,1011
16,1036,1017
17,1033,1020
18,1034,1022
19,1033,1020
20,1029,1017
21,1036,1018
22,1030,1016
23,1032,1014
24,1040,1010
25,1043,1015
26,1043,1016
27,1043,1019
28,1038,1021
29,1045,1019
30,1048,1016
31,1053,1015
32,1058,1012
33,1057,1009
34,1057,1014
35,1063,1019
36,1062,1015
37,1056,1014
38,1059,1013
39,1058,1010
40,1061,1007
41,1059,1013
42,1057,1011
43,1056,1015
44,1052,1016
45,1049,1019
46,1048,1019
47,1050,1015
48,1053,1016
49,1058,1012
50,1054,1015
51,1050,1012
52,1044,1012
53,1040,1016
54,1036,1012
55,1034,1007
56,1029,1002
57,1034,1008
58,1029,1006
59,1028,1007
60,1034,1013
61,1028,1016
62,1033,1021
63,1041,1017
64,1037,1012
65,1042,1014
66,1038,1009
67,1036,1015
68,1037,1020
69,1035,1023
70,1030,1026
71,1038,1030
72,1042,1026
73,1040,1030
74,1040,1028
75,1046,1031
76,1044,1028
77,1051,1024
78,1057,1027
79,1062,1023
80,1068,1025
81,1066,1025
82,1068,1031
83,1074,1036
84,1074,1041
85,1068,1045
86,1062,1040
87,1061,1043
88,1061,1044
89,1062,1043
90,1061,1042
91,1066,1040
92,1066,1042
93,1072,1045
94,1077,1043
95,1080,1047
96,1082,1043
97,1081,1046
98,1084,1042
99,1089,1039
100,1088,1037
101,1092,1038
102,1094,1042
103,1097,1037
104,1104,1036
105,1103,1037
106,1108,1035
107,1102,1037
108,1097,1033
109,1091,1038
110,1099,1044
111,1103,1050
112,1103,1050
113,1099,1053
114,1104,1058
115,1110,1063
116,1111,1068
117,1107,1068
118,1105,1070
